地名,センター（center.csvを使わない場合は空白化）,生ごみ,燃やせるごみ,燃やせないごみ,プラスチック,資源ごみ,空きびん
JR函館本線から西側条丁目で、北1丁目から北4丁目まで（昭和通り沿いを除く）,,月 木,月,水2 水4,金,金1 金3,金2 金4
JR函館本線から西側条丁目で、北5丁目から北9丁目まで,,月 木,月,水2 水4,火,火1 火3,火2 火4
JR函館本線から西側条丁目で、昭和通り両側から南7丁目まで,,月 木,月,土2 土4,金,金1 金3,金2 金4
JR函館本線から東側条丁目で、北1丁目から北11丁目まで（旭通り沿いを除く）東明、落合、盤の沢、我路,,火 金,火,月2 月4,水,水1 水3,水2 水4
JR函館本線から東側条丁目で、旭通り両側から南側地区、共練町,,火 金,金,木2 木4,土,土1 土3,土2 土4
南美唄町、進徳東団地、新橋団地,,水 土,水,火2 火4,木,木1 木3,木2 木4
癸巳町から茶志内町・進徳町から峰延町の国道沿い及び一部、日東町、空知団地,,水 土,土,金2 金4,火,火1 火3,火2 火4
中村町、北美唄町、茶志内町、沼の内町,,水 土,木,土2,月,月,月
峰延町、上美唄町、西美唄町、共練町、進徳町、癸巳町、東明町,,月 木,木,土3,月,月,月
開発町、一心町、光珠内町、豊葦町,,火 金,木,土4,月,月,月
